body,head,head_bone,eye_nodes,eye_x,eye_y,eye_z,eyel_x,eyer_x,camerahook_x,camerahook_y,camerahook_z,headhook_x,headhook_y,headhook_z,ipd,note
PMBCM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06626,1.67011,-0.02700,0.02686,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05386,
PMBDM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06626,1.67011,-0.02700,0.02686,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05386,
PMBEM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06626,1.67011,-0.02700,0.02686,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05386,
PMBFM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06626,1.67024,-0.02700,0.02686,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52509,0.05386,
PMBGM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06626,1.67011,-0.02700,0.02686,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05386,
PMBHM,p_CarthH,headhook,eyeLA/eyeRA,0.00000,0.06626,1.67011,-0.02693,0.02693,0.00029,0.02068,1.63392,0.00008,-0.01804,1.52496,0.05386,
PMBIM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06453,1.69455,-0.02700,0.02686,0.00029,0.09728,1.64929,0.00000,-0.01977,1.54940,0.05386,
PMBJM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06626,1.67011,-0.02700,0.02686,0.00028,0.02100,1.63400,0.00000,-0.01804,1.52496,0.05386,
PMBKM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.08430,1.69515,-0.02700,0.02686,0.00029,0.15735,1.71264,0.00000,-0.00000,1.55000,0.05386,
PMBMM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.06553,1.66874,-0.02700,0.02686,0.00029,0.09728,1.64929,0.00000,-0.01877,1.52359,0.05386,
PMBNM,p_CarthH,headhook,eyeLA/eyeRA,-0.00007,0.07465,1.69015,-0.02700,0.02686,0.00029,0.09728,1.64929,0.00000,-0.00965,1.54500,0.05386,
P_JoleeBB,p_JoleeH,headhook,,,,,,,,,,,,,,body model not found
P_JoleeBA,p_JoleeH,headhook,,,,,,,,,,,,,,body model not found
PMBCM,p_JoleeH,headhook,,,,,,,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,,head model not found
PMBDM,p_JoleeH,headhook,,,,,,,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,,head model not found
PMBEM,p_JoleeH,headhook,,,,,,,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,,head model not found
PMBFM,p_JoleeH,headhook,,,,,,,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52509,,head model not found
PMBGM,p_JoleeH,headhook,,,,,,,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,,head model not found
PMBHM,p_JoleeH,headhook,,,,,,,0.00029,0.02068,1.63392,0.00008,-0.01804,1.52496,,head model not found
PMBIM,p_JoleeH,headhook,,,,,,,0.00029,0.09728,1.64929,0.00000,-0.01977,1.54940,,head model not found
PMBJM,p_JoleeH,headhook,,,,,,,0.00028,0.02100,1.63400,0.00000,-0.01804,1.52496,,head model not found
PMBKM,p_JoleeH,headhook,,,,,,,0.00029,0.15735,1.71264,0.00000,-0.00000,1.55000,,head model not found
PMBMM,p_JoleeH,headhook,,,,,,,0.00029,0.09728,1.64929,0.00000,-0.01877,1.52359,,head model not found
PMBNM,p_JoleeH,headhook,,,,,,,0.00029,0.09728,1.64929,0.00000,-0.00965,1.54500,,head model not found
P_JuhaniBB,P_JuhaniH,headhook,,,,,,,,,,,,,,body model not found
P_JuhaniBA,P_JuhaniH,headhook,,,,,,,,,,,,,,body model not found
PFBCM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBDM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBEM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBFM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBGM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBHM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBIM,P_JuhaniH,headhook,,,,,,,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,,head model not found
PFBJM,P_JuhaniH,headhook,,,,,,,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,,head model not found
PFBKM,P_JuhaniH,headhook,,,,,,,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,,head model not found
PFBMM,P_JuhaniH,headhook,,,,,,,-0.00227,0.14453,1.58149,-0.00278,0.00191,1.44928,,head model not found
PFBNM,P_JuhaniH,headhook,,,,,,,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,,head model not found
P_MissionBB,p_MissionH,headhook,,,,,,,,,,,,,,body model not found
P_MissionBA,p_MissionH,headhook,,,,,,,,,,,,,,body model not found
PFBCS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBDS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBES,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBFS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBGS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBHS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBIS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBJS,p_MissionH,headhook,,,,,,,0.00059,-0.02273,1.53816,-0.00000,-0.00000,1.39997,,head model not found
PFBKM,p_MissionH,headhook,,,,,,,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,,head model not found
PFBMS,p_MissionH,headhook,,,,,,,,,,,,,,body model not found
PFBNM,p_MissionH,headhook,,,,,,,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,,head model not found
N_AdmrlSaulKar,ad_saul,headhook,eyeLA/eyeRA,-0.00045,0.08976,1.69366,-0.03009,0.02920,0.00029,0.02068,1.63392,0.00003,-0.00000,1.55000,0.05929,
N_CommF,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,0.00184,1.55492,-0.00000,-0.00000,1.45000,0.06032,
PFBCM,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06032,
PFBDM,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06032,
PFBEM,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06032,
PFBFM,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06032,
PFBGM,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06032,
PFBHM,comm_a_f,headhook,eyeLA/eyeRA,0.00049,0.06437,1.58328,-0.02967,0.03065,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06032,
PFBIM,comm_a_f,headhook,eyeLA/eyeRA,-0.00011,0.08430,1.58256,-0.03027,0.03005,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06032,
PFBKM,comm_a_f,headhook,eyeLA/eyeRA,0.00205,0.06483,1.58328,-0.02811,0.03221,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,0.06032,
PFBMM,comm_a_f,headhook,eyeLA/eyeRA,-0.00229,0.06628,1.58256,-0.03244,0.02787,-0.00227,0.14453,1.58149,-0.00278,0.00191,1.44928,0.06032,
PFBNM,comm_a_f,headhook,eyeLA/eyeRA,-0.00011,0.08430,1.58256,-0.03027,0.03005,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06032,
N_CommKidF,N_childFH,headhook,eyeLA/eyeRA,0.00000,0.05216,1.37495,-0.02570,0.02570,0.00052,0.01017,1.35639,0.00000,-0.00000,1.23360,0.05140,
N_CommKidM,N_child_M,headhook,eyeLA/eyeRA,-0.00220,0.06811,1.32474,-0.03069,0.02629,-0.00097,0.00424,1.30246,-0.00097,0.00424,1.18702,0.05698,
N_CommM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.08943,1.69166,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05686,
PMBCM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07139,1.66662,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05686,
PMBDM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07139,1.66662,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05686,
PMBEM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07139,1.66662,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05686,
PMBFM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07139,1.66675,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52509,0.05686,
PMBGM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07139,1.66662,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.05686,
PMBHM,comm_a_m,headhook,eyeL/eyeR,-0.00064,0.07139,1.66662,-0.02907,0.02779,0.00029,0.02068,1.63392,0.00008,-0.01804,1.52496,0.05686,
PMBIM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.06966,1.69106,-0.02915,0.02771,0.00029,0.09728,1.64929,0.00000,-0.01977,1.54940,0.05686,
PMBKM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.08943,1.69166,-0.02915,0.02771,0.00029,0.15735,1.71264,0.00000,-0.00000,1.55000,0.05686,
PMBMM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07066,1.66525,-0.02915,0.02771,0.00029,0.09728,1.64929,0.00000,-0.01877,1.52359,0.05686,
PMBNM,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.07978,1.68666,-0.02915,0.02771,0.00029,0.09728,1.64929,0.00000,-0.00965,1.54500,0.05686,
N_CzerkaOff,comm_a_m,headhook,eyeL/eyeR,-0.00072,0.08943,1.69166,-0.02915,0.02771,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05686,
N_Dodonna,N_DodonnaH,headhook,eyeLA/eyeRA,0.00051,0.06334,1.58933,-0.02663,0.02765,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05428,
N_FatComF,PFHA05,headhook,eyeLA/eyeRA,0.00199,0.05792,1.58580,-0.02664,0.03063,0.00061,-0.02354,1.59312,0.00010,-0.00000,1.45000,0.05727,
N_FatComM,PMHC01,headhook,eyeLA/eyeRA,0.00009,0.07634,1.69763,-0.02882,0.02900,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05782,
N_Smuggler,comm_w_m,headhook,eyeLA/eyeRA,-0.00047,0.09052,1.69527,-0.03012,0.02917,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05929,
N_JediCounF,PFHC01,headhook,eyeLA/eyeRA,-0.00000,0.06257,1.58933,-0.02644,0.02644,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05288,
N_JediCounM,PMHC01,headhook,eyeLA/eyeRA,0.00009,0.07634,1.69763,-0.02882,0.02900,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05782,
N_JediMemF,PFHC02,headhook,eyeLA/eyeRA,0.00071,0.05743,1.59478,-0.02477,0.02620,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05097,
N_JediMemM,PMHC06,headhook,eyeL/eyeR,-0.00000,0.07389,1.69523,-0.02633,0.02633,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05266,
N_RepOff,rep_off,headhook,eyeLA/eyeRA,0.00014,0.07435,1.69832,-0.02794,0.02823,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05618,
N_RepSold,comm_w_m,headhook,eyeLA/eyeRA,-0.00047,0.09052,1.69527,-0.03012,0.02917,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05929,
N_SithAppren,sith_app,headhook,eyeLA/eyeRA,0.00939,0.19409,1.59553,-0.01857,0.03735,0.00029,0.02068,1.63392,0.01185,0.07603,1.47727,0.05593,
N_SithComF,N_SithoffFH,headhook,eyeLA/eyeRA,0.00051,0.06334,1.58933,-0.02663,0.02765,0.00061,0.03902,1.54373,-0.00000,-0.00000,1.45000,0.05428,
N_SithComM,N_SithoffMH,headhook,eyeLA/eyeRA,-0.00047,0.09059,1.69522,-0.03012,0.02917,0.00029,0.02068,1.63392,0.00000,-0.00000,1.55000,0.05929,
N_TwilekF,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,0.00000,-0.00000,1.45000,0.06020,
PFBCM,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06020,
PFBDM,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06020,
PFBEM,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06020,
PFBFM,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06020,
PFBGM,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06020,
PFBHM,twilek_f,headhook,eyeLA/eyeRA,-0.00000,0.05841,1.58912,-0.03010,0.03010,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06020,
PFBIM,twilek_f,headhook,eyeLA/eyeRA,-0.00060,0.07834,1.58839,-0.03070,0.02950,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06020,
PFBKM,twilek_f,headhook,eyeLA/eyeRA,0.00155,0.05886,1.58912,-0.02855,0.03166,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,0.06020,
PFBMM,twilek_f,headhook,eyeLA/eyeRA,-0.00278,0.06032,1.58839,-0.03288,0.02732,-0.00227,0.14453,1.58149,-0.00278,0.00191,1.44928,0.06020,
PFBNM,twilek_f,headhook,eyeLA/eyeRA,-0.00060,0.07834,1.58839,-0.03070,0.02950,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06020,
N_TwilekM,twilek_m,headhook,eyeLA/eyeRA,0.00006,0.06926,1.69000,-0.02994,0.03006,0.00029,0.02068,1.63392,0.00003,-0.00000,1.55000,0.06000,
PMBCM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05122,1.66496,-0.02997,0.03003,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.06000,
PMBDM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05122,1.66496,-0.02997,0.03003,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.06000,
PMBEM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05122,1.66496,-0.02997,0.03003,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.06000,
PMBFM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05122,1.66509,-0.02997,0.03003,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52509,0.06000,
PMBGM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05122,1.66496,-0.02997,0.03003,0.00029,0.02068,1.63392,0.00000,-0.01804,1.52496,0.06000,
PMBHM,twilek_m,headhook,eyeLA/eyeRA,0.00011,0.05122,1.66496,-0.02989,0.03011,0.00029,0.02068,1.63392,0.00008,-0.01804,1.52496,0.06000,
PMBIM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.04949,1.68940,-0.02997,0.03003,0.00029,0.09728,1.64929,0.00000,-0.01977,1.54940,0.06000,
PMBKM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.06926,1.69000,-0.02997,0.03003,0.00029,0.15735,1.71264,0.00000,-0.00000,1.55000,0.06000,
PMBMM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05049,1.66359,-0.02997,0.03003,0.00029,0.09728,1.64929,0.00000,-0.01877,1.52359,0.06000,
PMBNM,twilek_m,headhook,eyeLA/eyeRA,0.00003,0.05961,1.68500,-0.02997,0.03003,0.00029,0.09728,1.64929,0.00000,-0.00965,1.54500,0.06000,
PFBAM,PFHA01,headhook,eyeLA/eyeRA,0.00021,0.05950,1.59381,-0.02556,0.02599,0.00059,-0.02273,1.53816,-0.00008,-0.00000,1.44925,0.05155,
N_CommF,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,0.00184,1.55492,-0.00000,-0.00000,1.45000,0.05155,
PFBCM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBDM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBEM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBFM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBGM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBHM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBIM,PFHA01,headhook,eyeLA/eyeRA,-0.00031,0.07943,1.59384,-0.02608,0.02547,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.05155,
PFBJM,PFHA01,headhook,eyeLA/eyeRA,0.00029,0.05950,1.59456,-0.02548,0.02606,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.05155,
PFBKM,PFHA01,headhook,eyeLA/eyeRA,0.00185,0.05996,1.59456,-0.02393,0.02762,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,0.05155,
PFBL,PFHA01,headhook,eyeLA/eyeRA,-0.00094,0.05989,1.59911,-0.02671,0.02483,0.00024,0.07801,1.60037,-0.00123,0.00038,1.45455,0.05155,
PFBMM,PFHA01,headhook,eyeLA/eyeRA,-0.00249,0.06141,1.59384,-0.02826,0.02329,-0.00227,0.14453,1.58149,-0.00278,0.00191,1.44928,0.05155,
PFBNM,PFHA01,headhook,eyeLA/eyeRA,-0.00031,0.07943,1.59384,-0.02608,0.02547,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.05155,
PFBAM,PFHA06,headhook,eyeLA/eyeRA,0.00066,0.06146,1.58917,-0.02972,0.03103,0.00059,-0.02273,1.53816,-0.00008,-0.00000,1.44925,0.06074,
N_CommF,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,0.00184,1.55492,-0.00000,-0.00000,1.45000,0.06074,
PFBCM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBDM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBEM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBFM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBGM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBHM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBIM,PFHA06,headhook,eyeLA/eyeRA,0.00013,0.08139,1.58920,-0.03024,0.03051,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06074,
PFBJM,PFHA06,headhook,eyeLA/eyeRA,0.00073,0.06146,1.58992,-0.02964,0.03110,0.00061,-0.02354,1.59312,-0.00000,-0.00000,1.45000,0.06074,
PFBKM,PFHA06,headhook,eyeLA/eyeRA,0.00229,0.06192,1.58992,-0.02808,0.03266,0.00217,0.13053,1.59312,0.00156,0.00046,1.45000,0.06074,
PFBL,PFHA06,headhook,eyeLA/eyeRA,-0.00050,0.06185,1.59447,-0.03087,0.02987,0.00024,0.07801,1.60037,-0.00123,0.00038,1.45455,0.06074,
PFBMM,PFHA06,headhook,eyeLA/eyeRA,-0.00205,0.06337,1.58920,-0.03242,0.02833,-0.00227,0.14453,1.58149,-0.00278,0.00191,1.44928,0.06074,
PFBNM,PFHA06,headhook,eyeLA/eyeRA,0.00013,0.08139,1.58920,-0.03024,0.03051,-0.00227,0.14453,1.58149,-0.00060,0.01993,1.44928,0.06074,
PFBAM,PFHA03,headhook,eyeLA/eyeRA,-0.00022,0.05984,1.59408,-0.03205,0.03161,0.00059,-0.02273,1.53816,-0.00008,-0.00000,1.44925,0.06366,
N_CommF,PFHA03,headhook,eyeLA/eyeRA,-0.00014,0.05984,1.59483,-0.03197,0.03169,0.00061,0.00184,1.55492,-0.00000,-0.00000,1.45000,0.06366,
