kind,class,name,value,provenance,verified_by,notes
global,,GUI_MANAGER_PTR,0x00A1B49C,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_AABB,0x00A73284,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_GOB_BBS,0x00A73740,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_GUI,0x00A32A30,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_PERSONAL_SPACE,0x00A2006C,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_QA_TRIGGERS,0x00A2003C,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_TRIGGERS,0x00A7E0E8,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RENDER_WIREFRAME,0x00A32A50,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,RULES_PTR,0x00A1B4D0,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,TLK_TABLE_PTR,0x00A1B4B0,kpm-db,unverified,"in .data; holds a runtime pointer, not statically checkable"
global,,VIRTUAL_MACHINE_PTR,0x00A1B4A8,kpm-db,runtime,exercised in a live K2SE session
offset,CAppManager,Client,0x0004,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CAppManager,Server,0x0008,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CExoString,CStr,0x0000,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CExoString,Length,0x0004,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CGameObject,Id,0x0004,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CGameObject,ObjectType,0x0008,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWBaseItem,WeaponWield,0x0008,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWCCreature,Running,0x03F8,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCombatRound,OnHandAttacks,0x0AE0,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreature,CreatureStats,0x1198,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreature,Inventory,0x1150,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,CHABase,0x00F7,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,CONBase,0x00F1,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,ClassCount,0x008D,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,DEXBase,0x00EF,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,INTBase,0x00F3,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,STRBase,0x00ED,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSCreatureStats,WISBase,0x00F5,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSObject,AreaId,0x0090,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSObject,Orientation,0x00A0,kpm-db,unverified,struct layout; confirm against a consuming handler
offset,CSWSObject,Position,0x0094,kpm-db,unverified,struct layout; confirm against a consuming handler
